"","team_id","name","tag"
"1463",2496757,"Le Sausage","Schnitze"
"1464",2823931,"Xp0ison","XPO"
"1465",2305490,"Team Secr3t young","TSY"
"1466",3316078,"Vlajnaya Mol'","VLAMO"
"1467",2668269,"ChewToy.Reborn","chew"
"1468",1589592,"Balkan Bears Corleone","BBC"
"1469",2800961,"TeaM Bhandup5","Th."
"1470",1477412,"Cat Doto ","CD"
"1471",3259767,"TAMPAN BERANI","ACEN"
"1472",2512130,"G O L D E N B O Y S","GB"
"1473",3690568,"Unknown Force","UF"
"1474",3378725,"MEME Team","MEME"
"1475",2386563,"KarmanGaming","KG"
"1476",2064100,".Deus","Deus"
"1477",795543,"Arcanys Gaming","Arcanys"
"1478",2201839,"MVP HOT6","MVP"
"1479",309574,"QPAD Red Pandas","QPAnDa"
"1480",2118451,"Babalar","BABA"
"1481",1272671,"scfe","scfe"
"1482",2619801,"Ability Gaming","Ability"
"1483",3511141,"Templar eSports","Templar"
"1484",2828440," ",""
"1485",2887177,"Dusa+4","Dusa+4"
"1486",3636997,"Good Gaming","GG"
"1487",2596336,"TEAM CANNABISS","CNB"
"1488",3705506,"KVLTERIZZER ","KvLt"
"1489",2099070,"Codex Gigas","CG"
"1490",1049537,"iDEAL Gigabyte","iDeal"
"1491",2804794,"MoGuL Empire","MoGuL"
"1492",1375816,"Born Incomplete","BORN"
"1493",1366458,"R a v e","Rave"
"1494",1333179,"Cloud9 G2A","C9 G2A"
"1495",1743746,"Heroes of Lumby","HoL"
"1496",1182889,"CheeToz","ChTz"
"1497",1375614,"Newbee","Newbee"
"1498",3323407,"REUNITED","Reunited"
"1499",2464846,"Quella.Y","Quella"
"1500",3728957,"Last Spartans Youth","LSY"
"1501",3688831,"Heaven Hell","He"
"1502",3447106,"ARCHER LADIES","ArL"
"1503",2588154,"Kangen Mantan","Mantan"
"1504",3689824,"FUN.Legion","FUN.Legion"
"1505",2899111,"Team MuGiWaRA","MuGiWaRAs"
"1506",1215507,"The Mad Scientists","M$"
"1507",1725918,"ViRu","ViRu"
"1508",2725711,"PODA BRUCE !","PB"
"1509",3265025,"2K.RASA.4K","2K"
"1510",2577846,"Fnatic","AUG"
"1511",2596552,"RoG.Lyons","RoG.Lyon"
"1512",1114733,"PRO PLAYERS EASY GAME","PPEG"
"1513",2856645,"Yokai","Yokai"
"1514",3330789,"Hades.Gaming","Hades.G"
"1515",2521210,"Extremist Dota 2","XTRMST"
"1516",20,"Newbee.Boss","Newbee.B"
"1517",2647702,"RageForOwnageGaming","~RFOG"
"1518",3319358,"Journey.Surabaya","Journey"
"1519",184636,"Osiris Gaming",""
"1520",2649830,"Aether","aether"
"1521",1834406,"CTW is back","CTW"
"1522",2524644,"",""
"1523",2204516,"Whos""Next","WhosNext"
"1524",1994846,"Team Finland","Fin"
"1525",2923667,"Sham3",""
"1526",2585032,"HappySoldier","HS"
"1527",726715,"CybernetAllianceSociety","CAS"
"1528",3412501,"Queen Of Pain Reborn","QoP-R"
"1529",2844153,"EZEUS Gaming","EZEUS "
"1530",2920571,"Flash Point","fP"
"1531",2767585,"gossip girls ;)","GIRLZ"
